,name,price,address,lease_type,house_type,lease_start_year,district_code,near_stat,near_stat_mins,bdrm,bath,sqm,sqft
0,2 Bed Condo in The Centris,4000.0,71 Jurong West Ctrl 3 ,Lease_99,Condominium,2009,22,Boon Lay,1,2,2,91.04,980
1,5 Bed Condo in Wilmer House,7500.0,1 St. Thomas Walk ,Unknown,Unknown,0,9,Somerset,7,5,3,233.84,2517
2,4 Bed House on Teacher's Housing Estate,8500.0, Li Po Ave ,Lease_99,Terraced_House,1970,26,,-1,4,3,302.12,3252
3,2 Bed Condo in The Scotts Tower,6900.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,2,2,78.04,840
4,1 Bed Condo in The Sail @ Marina Bay,4500.0,2 Marina Boulevard ,Lease_99,Condominium,2008,1,Downtown,3,1,1,61.04,657
5,4 Bed Condo in Yong An Park,11988.0,327 River Valley Rd ,Freehold,Condominium,1986,9,,-1,4,5,297.29,3200
6,4 Room HDB in 89 Tanglin Halt Road,4000.0,None,Lease_99,HDB,2008,0,Commonwealth,2,3,2,90.02,969
7,1 Bed Condo in Liiv Residences,3000.0,339 Pasir Panjang Rd ,Freehold,HDB,2017,5,,-1,1,1,36.98,398
8,1 Bed Condo in Park Colonial,3300.0,8 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,1,1,43.01,463
9,2 Bed Condo in The Peak @ Cairnhill II,5000.0,61 Cairnhill Circle ,Freehold,Condominium,2015,9,Newton,6,2,2,77.02,829
10,3 Bed Condo in 3 Orchard By-The-Park,15000.0,3 Orchard Boulevard ,Freehold,Condominium,2017,10,,-1,3,3,172.99,1862
11,Studio Condo in Eight Courtyards,2500.0,12 Canberra Dr ,Lease_99,Condominium,2014,27,,-1,,1,27.87,300
12,1 Bed Condo in Scotts Square,5500.0,8 Scotts Rd ,Freehold,Condominium,2010,9,Orchard,2,1,1,57.97,624
13,2 Bed Condo in Emerald Garden,4300.0,33 Club St ,Lease_99,Condominium,1998,1,Telok Ayer,3,2,2,86.96,936
14,4 Bed Condo in The Imperial,19000.0,5 Jln Rumbia ,Freehold,Condominium,2006,9,,-1,4,4,328.04,3531
15,4 Bed Condo in Thomson Grand,10500.0,43 Sin Ming Walk ,Lease_99,Condominium,2015,20,,-1,4,5,493.97,5317
16,2 Bed Condo in Parc Botannia,3600.0,12 Fernvale St ,Lease_99,Condominium,2022,28,Thanggam,1,2,2,61.97,667
17,5 Room HDB in 296 Punggol Central,3200.0,None,Lease_99,HDB,2003,0,Cove,3,3,2,,1184
18,1 Bed House on Race Course Road/Owen Road Conservation Area,2999.0, Race Course Rd ,Unknown,Unknown,0,8,Farrer Park,7,1,1,130.06,1400
19,3 Bed Condo in Regentville,3888.0,6 Hougang St 92 ,Lease_99,Condominium,2000,19,,-1,3,2,91.04,980
20,2 Bed Condo in The Hillford,3200.0,178 Jln Jurong Kechil ,Unknown,Condominium,2017,21,,-1,2,1,47.01,506
21,5 Bed House on Greenwood Mews,10000.0, Greenwood Ave ,Unknown,Townhouse,2016,11,,-1,5,5,294.97,3175
22,3 Bed Condo in Lake Grande,4800.0,6 Jurong Lake Link ,Lease_99,Condominium,2020,22,Lakeside,5,3,2,83.98,904
23,1 Bed Condo in Beacon Heights,3200.0,8 Mar Thoma Rd ,Lease_99,Unknown,0,12,,-1,1,1,61.97,667
24,1 Bed Condo in Park Colonial,3400.0,8 Woodleigh Lane ,Lease_99,Unknown,0,13,Woodleigh,2,1,1,43.01,463
25,3 Bed Condo in Wallich Residence,12500.0,3 Wallich St ,Lease_99,Condominium,2022,2,Tanjong Pagar,1,3,2,121.98,1313
26,3 Bed Condo in Heritage View,6000.0,6 Dover Rise ,Lease_99,Condominium,2000,5,,-1,3,3,121.98,1313
27,2 Bed Condo in Kandis Residence,3300.0,8 Kandis Link ,Lease_99,Condominium,2021,27,,-1,2,2,,775
28,4 Bed Condo in Ardmore Residence,37000.0,7 Ardmore Pk ,Freehold,Condominium,2013,10,,-1,4,4,295.99,3186
29,1 Bed Condo in Park Colonial,3100.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,1,1,43.01,463
30,2 Bed Condo in One Oxley Rise,5100.0,1 Oxley Rise ,Freehold,Condominium,2009,9,Somerset,5,2,2,98.01,1055
31,1 Bed Condo in Park Colonial,3500.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,1,1,43.01,463
32,Exec HDB in 527 Serangoon North Avenue 4,3200.0,None,Unknown,HDB,1992,0,,-1,4,2,147.99,1593
33,3 Bed Condo in Heritage View,6000.0,8 Dover Rise ,Lease_99,Unknown,0,5,,-1,3,3,108.6,1169
34,2 Bed Condo in Millage,4600.0,55 Changi Rd ,Freehold,Condominium,2016,14,,-1,2,1,104.98,1130
35,4 Room HDB in 883 Tampines Street 84,3800.0,None,Lease_99,HDB,1988,0,,-1,3,2,103.96,1119
36,7 Bed House on Cluny Park Road,70000.0, Cluny Pk Rd ,Unknown,Good_Class_Bungalow,0,10,,-1,7,8,114.84,12000
37,4 Bed House on White House Residences,24000.0, Stevens Rd ,Freehold,Cluster_House,2013,10,Stevens,2,4,5,600.99,6469
38,1 Bed Condo in Bedok Residences,3388.0,16 Bedok Nth Dr ,Lease_99,Unknown,0,16,Bedok,1,1,1,48.03,517
39,2 Bed Condo in The Metz,7500.0,83 Devonshire Rd ,Freehold,Condominium,2007,9,Somerset,2,2,2,95.04,1023
40,3 Bed Condo in North Park Residences,4500.0,37 Yishun Ctrl 1 ,Lease_99,Condominium,2020,27,Yishun,3,3,2,77.02,829
41,3 Bed HDB in 261C Sengkang East Way,3300.0,None,Lease_99,HDB,2000,0,Sengkang,3,3,2,8.45,91
42,3 Bed Condo in The Scotts Tower,16300.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,3,2,278.99,3003
43,1 Bed Condo in Duo Residences / Duo Tower,4500.0,1 Fraser St ,Lease_99,Condominium,2017,7,Bugis,3,1,1,66.98,721
44,1 Bed Condo in Zedge,2800.0,2 Akyab Rd ,Freehold,HDB,2010,11,Novena,7,1,1,44.97,484
45,1 Bed Condo in The Clift,5000.0,21 Mccallum St ,Lease_99,Unknown,0,1,Telok Ayer,4,1,1,74.04,797
46,2 Bed Condo in Heritage Place,4200.0,21 Tan Quee Lan St ,Lease_99,Unknown,0,7,Bugis,3,2,2,91.04,980
47,4 Bed Condo in Four Seasons Park,15500.0,8 Cuscaden Walk ,Freehold,Unknown,0,10,Orchard,6,4,4,,2874
48,Studio Condo in Eight Riversuites,2600.0,10 Whampoa East ,Lease_99,Condominium,2016,12,Boon Keng,4,,1,25.08,270
49,2 Bed Condo in Scotts Square,7000.0,8 Scotts Rd ,Freehold,Unknown,0,9,Orchard,2,2,2,82.96,893
50,1 Bed Condo in The Scotts Tower,4800.0,38 Scotts Rd ,Unknown,Unknown,0,9,Newton,5,1,1,60.2,648
51,3 Bed Condo in Hillview Green,4200.0,73 Hume Ave ,Lease_99,Condominium,1998,21,,-1,3,3,146.97,1582
52,1 Bed Condo in The Cape,3700.0,25 Amber Rd ,Freehold,HDB,2014,15,,-1,1,1,52.95,570
53,1 Bed Condo in The Seawind,3500.0,70 Lor M Telok Kurau ,Freehold,Condominium,2015,15,,-1,1,1,52.95,570
54,3 Bed Condo in Holland Mews,6000.0,67 Holland Rd ,Freehold,Condominium,2004,10,,-1,3,3,117.99,1270
55,3 Bed Condo in Siglap Centre,4400.0,55 Siglap Rd ,Unknown,Unknown,0,15,,-1,3,2,157.47,1695
56,3 Bed Exec Condo in The Dew,3900.0,32 Bt Batok St 21 ,Lease_99,Condominium,2003,23,,-1,3,3,112.04,1206
57,4 Room HDB in 857 Jurong West Street 81,2800.0,None,Unknown,HDB,1996,0,,-1,3,2,103.96,1119
58,4 Bed Condo in Sky @ Eleven,12500.0,5 Thomson Lane ,Freehold,Condominium,2010,11,,-1,4,4,264.77,2850
59,5 Room HDB in 736 Pasir Ris Drive 10,3000.0,None,Lease_99,HDB,1996,0,,-1,4,2,111.48,1200
60,2 Bed Condo in Whistler Grand,4000.0,107 West Coast Vale ,Lease_99,Unknown,0,5,,-1,2,1,57.04,614
61,5 Bed Condo in Nassim Jade,18800.0,3 Nassim Rd ,Freehold,Unknown,0,10,,-1,5,6,306.58,3300
62,3 Bed Condo in Park Colonial,6500.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,3,2,90.95,979
63,2 Bed Condo in The Bencoolen,4300.0,180 Bencoolen St ,Lease_99,HDB,1998,7,Rochor,3,2,2,82.22,885
64,2 Bed Condo in Centro Residences,4700.0,59 Ang Mo Kio Ave 8 ,Lease_99,Condominium,2014,20,Ang Mo Kio,1,2,2,134.99,1453
65,2 Bed Condo in Kerrisdale,3800.0,32 Sturdee Rd ,Lease_99,Condominium,2005,8,Farrer Park,5,2,3,91.97,990
66,4 Room HDB in 512 Jelapang Road,2900.0,None,Unknown,HDB,1998,0,Segar,2,3,2,93.92,1011
67,1 Bed Condo in The Rochester Residences,5800.0,33 Rochester Dr ,Lease_99,HDB,2011,5,Buona Vista,3,1,2,95.04,1023
68,1 Bed Condo in Altez,4100.0,16 Enggor St ,Lease_99,Condominium,2014,2,Tanjong Pagar,3,1,1,48.96,527
69,4 Bed House on Horizon Gardens,5000.0, Ang Mo Kio Ave 2 ,Lease_99,Cluster_House,2002,20,,-1,4,5,269.42,2900
70,2 Bed Condo in Lloyd Sixtyfive,9000.0,65 Lloyd Rd ,Freehold,Condominium,2017,9,Somerset,4,2,3,167.97,1808
71,1 Bed Condo in The Clift,5000.0,21 Mccallum St ,Lease_99,Condominium,2011,1,Telok Ayer,4,1,1,74.04,797
72,3 Bed Condo in The Bayron,8000.0,49 St. Thomas Walk ,Freehold,Condominium,1997,9,Somerset,3,3,3,168.99,1819
73,3 Bed Condo in Highgate,3800.0,  ,Freehold,Unknown,0,21,,-1,3,2,113.99,1227
74,5 Room HDB in 192 Pasir Ris Street 12,3500.0,None,Lease_99,HDB,1993,0,,-1,3,2,138.98,1496
75,2 Bed Condo in Guilin View,3300.0,22 Bt Batok St 52 ,Lease_99,Condominium,2000,23,Bukit Gombak,5,2,2,78.04,840
76,2 Bed Condo in The Dairy Farm,3500.0,33 Dairy Farm Rd ,Freehold,Condominium,1989,23,Hillview,5,2,2,119.01,1281
77,2 Bed Condo in Dakota Residences,4800.0,38 Dakota Cres ,Lease_99,Unknown,0,14,Dakota,3,2,2,95.04,1023
78,1 Bed Condo in The Seawind,3500.0,76 Lor M Telok Kurau ,Freehold,Unknown,0,15,,-1,1,1,61.04,657
79,3 Bed HDB in 612D Punggol Drive,3200.0,None,Lease_99,HDB,2012,0,Damai,0,3,2,,1001
80,2 Bed Condo in Craig Place,4888.0,20 Craig Rd ,Lease_99,HDB,2003,2,Tanjong Pagar,5,2,1,,732
81,1 Bed Condo in Park Colonial,3100.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,1,1,43.01,463
82,3 Room HDB in 72 Geylang Bahru,2900.0,None,Lease_99,HDB,1974,0,,-1,2,1,65.03,700
83,3 Room HDB in 1A Cantonment Road,4200.0,None,Lease_99,HDB,2011,0,Outram Park,6,3,2,,1001
84,Exec HDB in 115 Edgefield Plains,3100.0,None,Unknown,HDB,2003,0,Meridian,4,3,2,148.92,1603
85,3 Bed Condo in Royalgreen,7000.0,6A Anamalai Ave ,Freehold,Unknown,0,10,,-1,3,2,91.04,980
86,2 Bed Condo in Eight Riversuites,3599.0,10 Whampoa East ,Lease_99,Condominium,2016,12,Boon Keng,4,2,2,65.03,700
87,3 Bed Exec Condo in Twin Waterfalls,5500.0,102 Punggol Walk ,Lease_99,Condominium,2015,19,Soo Teck,4,3,3,173.91,1872
88,2 Bed Condo in The Club Residences,13000.0,1 The Knolls ,Unknown,Unknown,0,4,,-1,2,2,169.92,1829
89,4 Bed Condo in Former Flynn Park,4500.0,18 Yew Siang Rd ,Freehold,Condominium,-1,5,Pasir Panjang,4,4,4,213.68,2300
90,4 Room HDB in 607 Yishun Street 61,3000.0,None,Lease_99,HDB,1987,0,,-1,3,2,84.91,914
91,3 Bed Condo in Urban Edge @ Holland V,6500.0,2 Ford Ave ,Freehold,HDB,2007,10,Holland Village,3,3,3,113.99,1227
92,3 Bed HDB in 701 Tampines Street 71,3500.0,None,Lease_99,HDB,1997,0,,-1,3,2,99.96,1076
93,1 Bed Condo in The Seawind,3500.0,76 Lor M Telok Kurau ,Freehold,Unknown,0,15,,-1,1,1,60.02,646
94,8 Bed House on Beechwood Grove,16800.0, Beechwood Grove ,Unknown,Good_Class_Bungalow,0,25,,-1,8,9,760.23,8183
95,2 Bed Condo in South Beach Residences,10800.0,28 Beach Rd ,Lease_99,Unknown,0,7,Esplanade,1,2,2,113.99,1227
96,2 Bed Condo in The Lakefront Residences,3500.0,48 Lakeside Dr ,Lease_99,Unknown,0,22,Lakeside,2,2,2,70.98,764
97,3 Bed Condo in Queens Peak,5500.0,1 Dundee Rd ,Lease_99,Unknown,0,3,Queenstown,1,3,2,87.14,938
98,5 Bed House on Toh Estate,12500.0, Toh Ave ,Freehold,Unknown,2013,17,,-1,5,6,453.83,4885
99,6 Bed House on Toh Estate,14500.0, Toh Hts ,Freehold,Good_Class_Bungalow,2013,17,,-1,6,7,712.57,7670
100,3 Bed Condo in Orchard Scotts Residences,8500.0,5 Anthony Rd ,Unknown,HDB,0,9,Newton,4,3,4,150.97,1625
101,1 Bed Condo in Vibes @ East Coast,2800.0,308 Telok Kurau Rd ,Freehold,Unknown,0,15,,-1,1,1,55.74,600
102,2 Bed Condo in The Clift,6700.0,21 Mccallum St ,Lease_99,Unknown,0,1,Telok Ayer,4,2,2,99.96,1076
103,2 Bed Condo in The Sail @ Marina Bay,5600.0,6 Marina Boulevard ,Lease_99,Unknown,0,1,Downtown,3,2,2,82.03,883
104,3 Bed Condo in The Bencoolen,5000.0,180 Bencoolen St ,Lease_99,Condominium,1998,7,Rochor,3,3,2,110.09,1185
105,1 Bed Condo in Laurel Tree,2900.0,42 Hillview Terrace ,Freehold,Condominium,2016,23,,-1,1,1,43.01,463
106,1 Bed Condo in Nottinghill Suites,2450.0,29A Toh Tuck Rd ,Freehold,Unknown,0,21,,-1,1,1,39.02,420
107,3 Room HDB in 47 Circuit Road,2850.0,None,Lease_99,HDB,1969,0,MacPherson,6,2,1,55.93,602
108,Studio Condo in 24 Verdun Road,2600.0,24 Verdun Rd ,Freehold,Unknown,0,8,,-1,,1,29.26,315
109,1 Bed Condo in Riverside 48,4500.0,48 Robertson Quay ,Freehold,Unknown,0,9,,-1,1,2,82.96,893
110,1 Bed Condo in Duo Residences / Duo Tower,4500.0,1 Fraser St ,Lease_99,Condominium,2017,7,Bugis,3,1,1,,592
111,1 Bed HDB in 124 Hougang Avenue 1,2500.0,None,Lease_99,HDB,1981,0,,-1,1,1,38.09,410
112,Studio HDB in 124 Hougang Avenue 1,2200.0,None,Lease_99,HDB,1981,0,,-1,,1,29.73,320
113,4 Bed Condo in Nassim Ville,13800.0,11 Nassim Rd ,Freehold,HDB,2015,10,,-1,4,4,204.39,2200
114,1 Bed Condo in Bijou,3850.0,2 Jln Mat Jambol ,Freehold,Condominium,2018,5,Pasir Panjang,1,1,1,56.02,603
115,5 Bed Condo in Nassim Jade,18800.0,3 Nassim Rd ,Freehold,Unknown,0,10,,-1,5,7,306.58,3300
116,3 Bed Condo in Sanctuary Green,5300.0,181 Tg Rhu Rd ,Lease_99,Condominium,2004,15,,-1,3,2,103.96,1119
117,2 Bed Condo in Dover Parkview,4800.0,38 Dover Rise ,Lease_99,Condominium,1997,5,,-1,2,3,123.19,1326
118,4 Room HDB in 344 Ang Mo Kio Avenue 3,3000.0,None,Lease_99,HDB,1978,0,Ang Mo Kio,3,2,2,97.92,1054
119,3 Room HDB in 293 Tampines Street 22,2900.0,None,Unknown,HDB,1984,0,,-1,2,2,72.93,785
120,4 Room HDB in 637 Hougang Avenue 8,3300.0,None,Lease_99,HDB,1987,0,,-1,3,2,103.96,1119
121,1 Bed Condo in Airstream,2500.0,26 St. Michael's Rd ,Freehold,Condominium,2013,12,,-1,1,1,31.03,334
122,4 Room HDB in 109 Bishan Street 12,3000.0,None,Lease_99,HDB,1985,0,Bishan,6,3,2,96.62,1040
123,1 Bed Condo in Bijou,3850.0,2 Jln Mat Jambol ,Freehold,Unknown,0,5,Pasir Panjang,1,1,1,56.02,603
124,1 Bed Condo in The Clift,5000.0,21 Mccallum St ,Lease_99,Unknown,0,1,Telok Ayer,4,1,1,74.04,797
125,4 Bed Condo in Riversound Residence,4900.0,9A Sengkang East Ave ,Lease_99,Unknown,0,19,Kangkar,4,4,3,,1367
126,2 Bed Condo in Lush On Holland Hill,6300.0,21 Holland Hill ,Freehold,Unknown,0,10,,-1,2,2,119.01,1281
127,4 Bed Condo in Orchard Scotts Residences,13500.0,5 Anthony Rd ,Unknown,HDB,0,9,Newton,4,4,5,248.98,2680
128,4 Bed Condo in Skyline @ Orchard Boulevard,22500.0,23 Angullia Pk ,Freehold,Condominium,2015,9,Orchard,4,4,5,,3100
129,5 Bed House on Greenwood Mews,11000.0, Greenwood Ave ,Unknown,Cluster_House,2016,11,,-1,5,5,294.97,3175
130,4 Bed Condo in Thomson Grand,10500.0,43 Sin Ming Walk ,Lease_99,Unknown,0,20,,-1,4,5,493.97,5317
131,Studio Condo in Parc Oasis,2400.0,51 Jurong East Ave 1 ,Lease_99,Unknown,0,22,Chinese Garden,2,,1,32.52,350
132,4 Bed House on Kimsia Park,6800.0, Jln Lada Puteh ,Freehold,Terraced_House,-1,9,Orchard,3,4,2,278.71,3000
133,2 Bed Condo in North Park Residences,3650.0,35 Yishun Ctrl 1 ,Lease_99,Unknown,0,27,Yishun,3,2,2,,732
134,Studio Condo in Rangoon View,1450.0,223 Rangoon Rd ,Freehold,Unknown,0,8,,-1,,1,13.47,145
135,4 Room HDB in 321 Bukit Batok Street 33,2100.0,None,Lease_99,HDB,1986,0,,-1,2,2,92.9,1000
136,2 Bed Condo in The Seafront On Meyer,4800.0,55 Meyer Rd ,Freehold,Unknown,0,15,,-1,2,2,99.03,1066
137,1 Bed Condo in The Minton,2700.0,10D Hougang St 11 ,Lease_99,Unknown,0,19,,-1,1,1,65.03,700
138,2 Bed Condo in Sophia Hills,4100.0,5 Mount Sophia ,Lease_99,Condominium,2018,9,Dhoby Ghaut,4,2,2,61.97,667
139,4 Bed Condo in The Inspira,10000.0,11 Arnasalam Chetty Rd ,Freehold,Condominium,2009,9,,-1,4,4,144.93,1560
140,3 Bed Condo in Nassim Regency,12300.0,37 Nassim Rd ,Freehold,Condominium,1978,10,,-1,3,4,188.04,2024
141,4 Bed Condo in Skyline @ Orchard Boulevard,23000.0,23 Angullia Pk ,Freehold,Unknown,0,9,Orchard,4,4,5,,3100
142,2 Room HDB in 3 Tanjong Pagar Plaza,2900.0,None,Unknown,HDB,1977,0,Tanjong Pagar,5,2,1,66.89,720
143,4 Bed Condo in Lotus at Paya Lebar (West Wing),6200.0,13 Lor 41 Geylang ,Freehold,Condominium,2014,14,Paya Lebar,4,4,2,,1324
144,1 Bed Condo in Lotus at Paya Lebar (West Wing),4500.0,13 Lor 41 Geylang ,Freehold,Condominium,2014,14,Paya Lebar,4,1,1,64.01,689
145,2 Bed Condo in Lotus at Paya Lebar (East Wing),5200.0,11 Paya Lebar Rd ,Freehold,Condominium,2014,14,Paya Lebar,4,2,2,75.99,818
146,2 Bed Condo in Emerald Garden,4700.0,33 Club St ,Lease_99,Condominium,1998,1,Telok Ayer,3,2,2,,1001
147,3 Bed Condo in R66 Apartments,3750.0,66 Rangoon Rd ,Freehold,Unknown,0,8,Farrer Park,2,3,2,111.48,1200
148,5 Bed House on Tanah Merah Besar Lane,6000.0, Tanah Merah Besar Lane ,Unknown,Unknown,0,17,,-1,5,6,322.93,3476
149,1 Bed Condo in The Cape,3600.0,25 Amber Rd ,Freehold,Unknown,0,15,,-1,1,1,52.95,570
150,1 Bed Condo in Concourse Skyline,4600.0,298 Beach Rd ,Lease_99,Unknown,0,7,Nicoll Highway,2,1,1,75.99,818
151,4 Room HDB in 40 Telok Blangah Rise,3300.0,None,Lease_99,HDB,1976,0,,-1,3,2,89.93,968
152,5 Room HDB in 39 Upper Boon Keng Road,3350.0,None,Lease_99,HDB,1976,0,,-1,3,2,102.19,1100
153,1 Bed Condo in Citylights,4000.0,90 Jellicoe Rd ,Lease_99,Condominium,2007,8,Lavender,2,1,1,52.03,560
154,1 Bed Condo in Citylights,4000.0,90 Jellicoe Rd ,Lease_99,Unknown,0,8,Lavender,2,1,1,52.03,560
155,3 Room HDB in 64 Marine Drive,3500.0,None,Lease_99,HDB,1976,0,,-1,3,1,66.98,721
156,4 Bed House on Little India Conservation Area,4000.0, Upp Weld Rd ,Unknown,Unknown,0,8,Rochor,3,4,2,92.9,1000
157,3 Bed House on Jalan Kayu Estate,4000.0, Jln Kayu ,Lease_99,Unknown,999,28,Thanggam,4,3,2,92.9,1000
158,3 Bed Condo in Kinta Suites,4000.0,38 Kinta Rd ,Unknown,Condominium,2015,8,Farrer Park,3,3,1,92.9,1000
159,3 Room HDB in 36 Chai Chee Avenue,2800.0,None,Lease_99,HDB,1974,0,,-1,2,2,55.93,602
160,4 Room HDB in 604A Punggol Road,3500.0,None,Lease_99,HDB,2012,0,Damai,1,3,2,89.09,959
161,4 Room HDB in 223D Compassvale Walk,3400.0,None,Lease_99,HDB,1999,0,Sengkang,4,3,2,101.91,1097
162,4 Room HDB in 354A Admiralty Drive,3200.0,None,Unknown,HDB,2002,0,Sembawang,2,3,2,89.93,968
163,4 Room HDB in 344 Ang Mo Kio Avenue 3,2800.0,None,Lease_99,HDB,1978,0,Ang Mo Kio,3,2,2,,1001
164,4 Room HDB in 739 Woodlands Circle,3200.0,None,Lease_99,HDB,1997,0,,-1,3,2,99.96,1076
165,3 Bed HDB in 764A Woodlands Circle,3400.0,None,Lease_99,HDB,2003,0,,-1,3,2,110.93,1194
166,1 Bed Condo in High Park Residences,2700.0,31 Fernvale Rd ,Lease_99,Unknown,0,28,Thanggam,2,1,1,41.99,452
167,4 Bed House on Lorong H Telok Kurau,5800.0, Lor H Telok Kurau ,Unknown,Terraced_House,0,15,,-1,4,2,130.06,1400
168,4 Room HDB in 543 Ang Mo Kio Avenue 10,3300.0,None,Lease_99,HDB,1981,0,,-1,3,2,95.41,1027
169,1 Bed HDB in 18 Eunos Crescent,2500.0,None,Unknown,HDB,1977,0,Eunos,6,1,1,34.93,376
170,4 Room HDB in 815 Jellicoe Road,4000.0,None,Lease_99,HDB,2003,0,Lavender,2,3,2,89.93,968
171,Studio Condo in Balestier Plaza,4000.0,400 Balestier Rd ,Freehold,Unknown,0,12,,-1,,1,74.32,800
172,4 Bed Condo in Thomson 800,13000.0,806 Thomson Rd ,Freehold,Unknown,0,11,Caldecott,5,4,3,,3832
173,5 Bed House on Pearl Island,28800.0, Pearl Island ,Lease_99,Good_Class_Bungalow,2016,4,,-1,5,6,612.97,6598
174,Studio Condo in Icon,3400.0,10 Gopeng St ,Lease_99,Condominium,2007,2,Tanjong Pagar,2,,1,52.95,570
175,1 Bed Condo in Watertown,3300.0,71 Punggol Ctrl ,Lease_99,Condominium,2017,19,Punggol,2,1,1,56.02,603
176,2 Bed Condo in One Shenton,5800.0,1 Shenton Way ,Lease_99,Unknown,0,1,Downtown,2,2,2,104.98,1130
177,4 Bed Condo in Cairnhill Plaza,14000.0,53 Cairnhill Rd ,Freehold,Condominium,1978,9,,-1,4,,307.14,3306
178,2 Bed Condo in Stirling Residences,4200.0,25 Stirling Rd ,Lease_99,Unknown,0,3,,-1,2,1,62.99,678
179,3 Bed Condo in The Scotts Tower,16300.0,38 Scotts Rd ,Unknown,Unknown,0,9,Newton,5,3,2,278.99,3003
180,6 Bed House on Villas Holland,60000.0, Bt Sedap Rd ,Lease_99,Good_Class_Bungalow,2004,10,,-1,6,9,511.44,16269
181,1 Bed Condo in Lotus at Paya Lebar (East Wing),3850.0,11 Paya Lebar Rd ,Freehold,Condominium,2014,14,Paya Lebar,4,1,1,39.11,421
182,1 Bed Condo in Parc Botannia,2700.0,12 Fernvale St ,Lease_99,Unknown,0,28,Thanggam,1,1,1,40.04,431
183,5 Room HDB in 736 Pasir Ris Drive 10,3000.0,None,Lease_99,HDB,1996,0,,-1,4,2,111.48,1200
184,4 Bed HDB in 736 Pasir Ris Drive 10,3000.0,None,Lease_99,HDB,1996,0,,-1,4,2,111.48,1200
185,1 Bed Condo in The Hillford,2500.0,182 Jln Jurong Kechil ,Unknown,Condominium,2017,21,,-1,1,1,36.98,398
186,1 Bed Condo in The Clift,5300.0,21 Mccallum St ,Lease_99,Unknown,0,1,Telok Ayer,4,1,1,74.04,797
187,2 Bed Condo in Flamingo Valley,4200.0,480 Siglap Rd ,Freehold,Unknown,0,15,,-1,2,1,75.99,818
188,Studio Exec Condo in Forestville,2300.0,30 Woodlands Dr 16 ,Lease_99,Condominium,2016,25,,-1,,1,27.87,300
189,3 Bed Condo in The Rochester Residences,13000.0,33 Rochester Dr ,Lease_99,HDB,2011,5,Buona Vista,3,3,3,357.03,3843
190,4 Bed House on Jalan Rindu,7000.0, Jln Rindu ,Unknown,Terraced_House,0,19,,-1,4,2,260.13,2800
191,3 Bed Condo in Spring Grove,8800.0,53 Grange Rd ,Lease_99,Condominium,1996,10,,-1,3,3,129.04,1389
192,4 Bed House on Classical Terrace,7000.0, Jln Rindu ,Lease_99,Terraced_House,1995,19,Bartley,6,4,2,260.13,2800
193,4 Bed Condo in Hana,30000.0,8 Tomlinson Rd ,Lease_99,Unknown,0,10,,-1,4,4,328.04,3531
194,3 Bed Condo in The Colonnade,16200.0,82 Grange Rd ,Freehold,Condominium,1986,10,,-1,3,3,336.03,3617
195,1 Bed Condo in Lotus @ Joo Chiat,3560.0,  ,Freehold,Unknown,0,15,,-1,1,1,69.03,743
196,4 Bed Condo in Lotus at Paya Lebar (West Wing),5960.0,3 Lor 41 Geylang ,Freehold,Unknown,0,14,Paya Lebar,4,4,2,,1324
197,2 Bed Condo in Lotus at Paya Lebar (East Wing),5010.0,11 Paya Lebar Rd ,Freehold,Unknown,0,14,Paya Lebar,4,2,2,76.74,826
198,5 Bed House on Greenwood Mews,10000.0, Greenwood Ave ,Unknown,Townhouse,2016,11,,-1,5,4,294.97,3175
199,3 Room HDB in 506 West Coast Drive,3300.0,None,Lease_99,HDB,1978,0,,-1,3,2,83.98,904
200,1 Bed Condo in Marina One Residences,4600.0,23 Marina Way ,Lease_99,Unknown,0,1,Marina Bay,2,1,1,64.85,698
201,2 Bed Condo in Lotus at Paya Lebar (East Wing),5100.0,11 Paya Lebar Rd ,Freehold,Unknown,0,14,Paya Lebar,4,2,2,76.92,828
202,Studio Condo in Coliwoo Balestier 320,2650.0,320 Balestier Rd ,Unknown,Unknown,0,12,,-1,,1,23.23,250
203,1 Bed Condo in The Seawind,3500.0,76 Lor M Telok Kurau ,Freehold,Condominium,2015,15,,-1,1,1,61.04,657
204,2 Bed Condo in Boathouse Residences,3200.0,21 Upp Serangoon View ,Lease_99,Condominium,2015,19,,-1,2,1,,732
205,2 Bed Condo in Lotus at Paya Lebar (East Wing),4500.0,11 Paya Lebar Rd ,Freehold,Condominium,2014,14,Paya Lebar,4,2,2,75.99,818
206,1 Bed Condo in Lotus at Paya Lebar (East Wing),3370.0,11 Paya Lebar Rd ,Freehold,Condominium,2014,14,Paya Lebar,4,1,1,39.02,420
207,3 Bed Condo in The Scotts Tower,16300.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,3,3,278.99,3003
208,2 Bed Condo in Emerald Park,4000.0,2 Indus Rd ,Lease_99,Condominium,1993,3,,-1,2,2,83.61,900
