,name,price,address,lease_type,house_type,lease_start_year,district_code,near_stat,near_stat_mins,bdrm,bath,sqm,sqft
2541,4 Room HDB in 425 Bedok North Road,3200.0,None,Lease_99,HDB,1979,0,,-1,3,2,91.97,990
2542,2 Bed Condo in Carissa Park Condominium,3200.0,2 Flora Dr ,Freehold,Unknown,0,17,,-1,2,2,85.94,925
2543,4 Bed Condo in Viva,10500.0,2 Suffolk Walk ,Freehold,Condominium,2013,11,Novena,6,4,4,170.94,1840
2544,4 Bed Condo in Viva,10500.0,2 Suffolk Walk ,Freehold,Condominium,2013,11,Novena,6,4,4,170.94,1840
2545,4 Bed Condo in Yong An Park,20000.0,329 River Valley Rd ,Freehold,Condominium,1986,9,,-1,4,5,318.94,3433
2546,Studio Condo in Studios @ Marne,2300.0,2 Marne Rd ,Freehold,Condominium,2009,8,Farrer Park,4,,1,44.97,484
2547,1 Bed Condo in The Scotts Tower,5500.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,1,1,61.04,657
2548,2 Bed Condo in The Scotts Tower,7100.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,2,2,83.98,904
2549,1 Bed Condo in UE Square,3700.0,81B Clemenceau Ave ,Unknown,Condominium,1997,9,,-1,1,1,47.29,509
2550,2 Bed Condo in The Peak @ Cairnhill II,8500.0,61 Cairnhill Circle ,Freehold,Condominium,2015,9,Newton,6,2,2,175.03,1884
2551,4 Bed Condo in The Oliv,27000.0,11C Balmoral Rd ,Freehold,Condominium,2013,10,,-1,4,4,502.98,5414
2552,2 Bed Condo in Royalgreen,4500.0,2 Anamalai Ave ,Freehold,Condominium,2022,10,,-1,2,1,57.97,624
2553,3 Bed Condo in Marina Bay Residences,16000.0,18 Marina Boulevard ,Lease_99,Unknown,0,1,Downtown,4,3,4,219.99,2368
2554,3 Bed Condo in Sunshine Plaza,6000.0,10 Prinsep Link ,Lease_99,Condominium,2001,7,Bras Basah,5,3,3,96.99,1044
2555,Studio Condo in V On Shenton,3800.0,5A Shenton Way ,Lease_99,Unknown,0,1,Downtown,5,,1,41.99,452
2556,3 Bed HDB in 618 Woodlands Avenue 4,3100.0,None,Lease_99,HDB,1998,0,,-1,3,2,9.66,104
2557,4 Bed Condo in D'leedon,10000.0,15 Leedon Hts ,Lease_99,Condominium,2015,10,,-1,4,4,183.95,1980
2558,1 Bed Condo in Lloyd Sixtyfive,5200.0,65 Lloyd Rd ,Freehold,Condominium,2017,9,Somerset,4,1,1,83.98,904
2559,1 Bed Condo in Eight Riversuites,2000.0,2 Whampoa East ,Lease_99,Condominium,2016,12,Boon Keng,4,1,1,13.94,150
2560,5 Bed House on Mount Sinai Lane,8500.0, Mount Sinai Lane ,Unknown,Terraced_House,0,10,,-1,5,3,307.88,3314
2561,4 Bed Condo in Aquarius By The Park,4000.0,21 Bedok Reservoir View ,Lease_99,Condominium,2002,16,,-1,4,2,142.98,1539
2562,4 Bed Condo in Regency Park,18800.0,11A Nathan Rd ,Freehold,Unknown,0,10,,-1,4,5,339.19,3651
2563,3 Bed Condo in Alba,12500.0,8 Cairnhill Rise ,Freehold,Unknown,0,9,,-1,3,3,176.98,1905
2564,8 Bed House on Kew Heights,20000.0, Kew Hts ,Unknown,Good_Class_Bungalow,0,16,,-1,8,6,114.84,12000
2565,1 Bed Condo in The Suites @ Central,5500.0,57A Devonshire Rd ,Freehold,Condominium,2009,9,Somerset,3,1,1,61.04,657
2566,1 Bed Condo in The Scotts Tower,5500.0,38 Scotts Rd ,Unknown,Condominium,2016,9,Newton,5,1,1,61.04,657
2567,2 Bed Condo in The Scotts Tower,7100.0,38 Scotts Rd ,Unknown,HDB,2016,9,Newton,5,2,2,83.98,904
2568,2 Bed Condo in Altez,7800.0,16 Enggor St ,Lease_99,Condominium,2014,2,Tanjong Pagar,3,2,2,108.98,1173
2569,3 Bed Condo in Altez,9500.0,  ,Lease_99,Condominium,2014,2,Tanjong Pagar,3,3,2,147.99,1593
2570,1 Bed Condo in The Clift,5300.0,21 Mccallum St ,Lease_99,Condominium,2011,1,Telok Ayer,4,1,1,70.98,764
2571,2 Bed Condo in The Clift,6700.0,21 Mccallum St ,Lease_99,Condominium,2011,1,Telok Ayer,4,2,2,99.96,1076
2572,1 Bed Condo in Empire Lofts,4400.0,45 Mosque St ,Unknown,Unknown,0,1,Chinatown,2,1,1,59.46,640
2573,1 Bed Condo in The Cape,3550.0,25 Amber Rd ,Freehold,Condominium,2014,15,,-1,1,1,58.99,635
2574,3 Bed Condo in D'nest,4500.0,137 Pasir Ris Grove ,Lease_99,Condominium,2017,18,,-1,3,2,86.96,936
2575,3 Room HDB in 156 Yishun Street 11,2500.0,None,Unknown,HDB,1985,0,Yishun,4,2,2,74.32,800
2576,3 Bed Condo in Belmond Green,5800.0,15D Balmoral Rd ,Freehold,Unknown,0,10,,-1,3,2,117.99,1270
2577,3 Bed Condo in The Clearwater,4500.0,4 Bedok Reservoir View ,Lease_99,Condominium,2002,16,,-1,3,3,137.03,1475
2578,4 Bed Condo in St Thomas Suites,13000.0,33 St. Thomas Walk ,Freehold,Condominium,2010,9,Somerset,4,4,4,242.01,2605
2579,Studio Condo in Eight Riversuites,2600.0,10 Whampoa East ,Lease_99,Condominium,2016,12,Boon Keng,4,,1,25.08,270
2580,3 Bed Condo in The Sierra,5000.0,80 Mount Sinai Dr ,Unknown,HDB,1998,10,Dover,10,3,3,111.95,1205
2581,3 Bed Condo in Southaven II,4200.0,33 Hindhede Walk ,Lease_99,Condominium,1999,21,,-1,3,3,130.06,1400
2582,3 Bed Condo in Parc Palais,4000.0,57 Hume Ave ,Freehold,Condominium,1999,21,,-1,3,3,115.01,1238
2583,2 Bed Condo in Park Colonial,4100.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,2,1,58.99,635
2584,1 Bed Condo in Bijou,3850.0,2 Jln Mat Jambol ,Freehold,Unknown,0,5,Pasir Panjang,1,1,1,56.02,603
2585,1 Bed Condo in Bedok Residences,3388.0,26 Bedok Nth Dr ,Lease_99,Condominium,2015,16,Bedok,1,1,1,48.03,517
2586,2 Bed Condo in Suites @ Topaz,4600.0,3 Topaz Rd ,Freehold,Condominium,2013,12,,-1,2,2,136.01,1464
2587,Studio Condo in Kovan Grandeur,2200.0,118 Tampines Rd ,Lease_99,Condominium,2012,19,,-1,,1,,366
2588,1 Bed Condo in OUE Twin Peaks,4050.0,33 Leonie Hill Rd ,Lease_99,Condominium,2015,9,,-1,1,1,52.95,570
2589,6 Bed House on Villas Holland,60000.0, Bt Sedap Rd ,Lease_99,Good_Class_Bungalow,2004,10,,-1,6,8,021.93,11000
2590,3 Bed Condo in The Colonnade,16200.0,82 Grange Rd ,Freehold,Condominium,1986,10,,-1,3,4,335.94,3616
